id,date,location,site,habitat,transect_no,size_class,area_m2,number
pedasi_azuero_rocky_shore_9,06-03-2025,pedasi,azuero,rocky_shore,9,3,103.14,2
pedasi_azuero_rocky_shore_4,10-03-2025,pedasi,azuero,rocky_shore,4,4,148.92,10
bocas_almirante_mangrove_2,10-02-2025,bocas,almirante,mangrove,2,1,108.72,10
bocas_almirante_mangrove_3,21-02-2025,bocas,almirante,mangrove,3,3,137.75,10
pedasi_azuero_rocky_shore_7,11-04-2025,pedasi,azuero,rocky_shore,7,2,165.56,1
puerto_armuelles_open_water_4,06-02-2025,puerto,armuelles,open_water,4,2,143.63,8
puerto_armuelles_open_water_3,27-03-2025,puerto,armuelles,open_water,3,1,177.56,3
bocas_almirante_mangrove_5,12-02-2025,bocas,almirante,mangrove,5,2,144.58,2
david_chiriqui_seagrass_6,12-02-2025,david,chiriqui,seagrass,6,1,174.62,9
pedasi_azuero_rocky_shore_9,06-02-2025,pedasi,azuero,rocky_shore,9,1,168.46,7
bocas_almirante_mangrove_3,01-02-2025,bocas,almirante,mangrove,3,4,117.63,10
pedasi_azuero_rocky_shore_6,24-03-2025,pedasi,azuero,rocky_shore,6,2,128.06,1
panama_colon_coral_reef_5,11-04-2025,panama,colon,coral_reef,5,5,191.97,5
pedasi_azuero_rocky_shore_6,03-04-2025,pedasi,azuero,rocky_shore,6,2,165.57,3
puerto_armuelles_open_water_6,31-01-2025,puerto,armuelles,open_water,6,2,107.47,7
panama_colon_coral_reef_2,07-04-2025,panama,colon,coral_reef,2,2,194.28,2
puerto_armuelles_open_water_10,25-02-2025,puerto,armuelles,open_water,10,4,127.91,3
puerto_armuelles_open_water_3,14-02-2025,puerto,armuelles,open_water,3,5,161.23,6
pedasi_azuero_rocky_shore_9,22-03-2025,pedasi,azuero,rocky_shore,9,3,177.92,7
puerto_armuelles_open_water_2,06-04-2025,puerto,armuelles,open_water,2,5,130.93,10
david_chiriqui_seagrass_5,06-03-2025,david,chiriqui,seagrass,5,5,198.9,3
pedasi_azuero_rocky_shore_6,28-03-2025,pedasi,azuero,rocky_shore,6,1,121.88,4
panama_colon_coral_reef_10,18-03-2025,panama,colon,coral_reef,10,3,109.14,1
pedasi_azuero_rocky_shore_4,18-04-2025,pedasi,azuero,rocky_shore,4,5,136.44,6
puerto_armuelles_open_water_8,17-04-2025,puerto,armuelles,open_water,8,4,100.61,10
bocas_almirante_mangrove_2,08-03-2025,bocas,almirante,mangrove,2,1,137.22,7
puerto_armuelles_open_water_2,19-02-2025,puerto,armuelles,open_water,2,2,154.55,9
panama_colon_coral_reef_1,06-02-2025,panama,colon,coral_reef,1,1,159.31,1
panama_colon_coral_reef_5,28-02-2025,panama,colon,coral_reef,5,1,106.05,7
puerto_armuelles_open_water_3,12-02-2025,puerto,armuelles,open_water,3,3,189.34,5
david_chiriqui_seagrass_3,24-01-2025,david,chiriqui,seagrass,3,2,155.07,2
bocas_almirante_mangrove_10,03-03-2025,bocas,almirante,mangrove,10,2,146.58,4
puerto_armuelles_open_water_3,27-02-2025,puerto,armuelles,open_water,3,3,175.3,2
bocas_almirante_mangrove_3,14-03-2025,bocas,almirante,mangrove,3,2,197.76,10
panama_colon_coral_reef_2,06-04-2025,panama,colon,coral_reef,2,5,104.05,4
pedasi_azuero_rocky_shore_4,17-03-2025,pedasi,azuero,rocky_shore,4,1,157.78,4
puerto_armuelles_open_water_2,04-02-2025,puerto,armuelles,open_water,2,1,174.62,10
david_chiriqui_seagrass_3,28-01-2025,david,chiriqui,seagrass,3,3,136.0,6
pedasi_azuero_rocky_shore_4,27-03-2025,pedasi,azuero,rocky_shore,4,3,141.79,5
bocas_almirante_mangrove_4,23-03-2025,bocas,almirante,mangrove,4,5,129.7,7
david_chiriqui_seagrass_3,03-04-2025,david,chiriqui,seagrass,3,4,135.45,2
panama_colon_coral_reef_6,02-03-2025,panama,colon,coral_reef,6,3,116.66,4
panama_colon_coral_reef_3,25-02-2025,panama,colon,coral_reef,3,3,157.13,2
david_chiriqui_seagrass_4,29-03-2025,david,chiriqui,seagrass,4,5,174.12,7
panama_colon_coral_reef_2,10-04-2025,panama,colon,coral_reef,2,1,168.1,1
puerto_armuelles_open_water_1,12-03-2025,puerto,armuelles,open_water,1,3,194.95,6
bocas_almirante_mangrove_8,18-02-2025,bocas,almirante,mangrove,8,1,133.66,4
puerto_armuelles_open_water_4,20-02-2025,puerto,armuelles,open_water,4,2,158.96,4
puerto_armuelles_open_water_3,03-02-2025,puerto,armuelles,open_water,3,1,107.91,5
puerto_armuelles_open_water_7,10-03-2025,puerto,armuelles,open_water,7,5,154.54,3
pedasi_azuero_rocky_shore_2,12-02-2025,pedasi,azuero,rocky_shore,2,5,106.62,5
puerto_armuelles_open_water_7,17-04-2025,puerto,armuelles,open_water,7,1,101.2,3
bocas_almirante_mangrove_4,14-02-2025,bocas,almirante,mangrove,4,2,143.59,2
pedasi_azuero_rocky_shore_7,08-03-2025,pedasi,azuero,rocky_shore,7,5,104.92,7
bocas_almirante_mangrove_7,15-03-2025,bocas,almirante,mangrove,7,2,118.87,6
david_chiriqui_seagrass_8,19-02-2025,david,chiriqui,seagrass,8,3,113.49,8
david_chiriqui_seagrass_3,27-03-2025,david,chiriqui,seagrass,3,5,190.41,10
puerto_armuelles_open_water_10,26-02-2025,puerto,armuelles,open_water,10,3,171.07,1
pedasi_azuero_rocky_shore_9,23-01-2025,pedasi,azuero,rocky_shore,9,3,131.45,2
david_chiriqui_seagrass_6,28-03-2025,david,chiriqui,seagrass,6,1,181.52,8
pedasi_azuero_rocky_shore_2,30-03-2025,pedasi,azuero,rocky_shore,2,1,146.09,8
david_chiriqui_seagrass_10,06-02-2025,david,chiriqui,seagrass,10,3,112.75,6
panama_colon_coral_reef_9,22-02-2025,panama,colon,coral_reef,9,5,147.85,6
pedasi_azuero_rocky_shore_9,02-02-2025,pedasi,azuero,rocky_shore,9,2,121.6,3
pedasi_azuero_rocky_shore_2,27-01-2025,pedasi,azuero,rocky_shore,2,3,141.31,1
pedasi_azuero_rocky_shore_5,21-02-2025,pedasi,azuero,rocky_shore,5,2,190.79,4
puerto_armuelles_open_water_9,07-04-2025,puerto,armuelles,open_water,9,1,153.84,9
david_chiriqui_seagrass_5,11-02-2025,david,chiriqui,seagrass,5,5,172.72,10
bocas_almirante_mangrove_6,11-02-2025,bocas,almirante,mangrove,6,1,120.53,5
david_chiriqui_seagrass_6,22-02-2025,david,chiriqui,seagrass,6,1,191.3,7
david_chiriqui_seagrass_4,25-02-2025,david,chiriqui,seagrass,4,1,159.35,8
bocas_almirante_mangrove_7,27-03-2025,bocas,almirante,mangrove,7,4,156.56,3
puerto_armuelles_open_water_8,17-02-2025,puerto,armuelles,open_water,8,2,181.32,3
david_chiriqui_seagrass_6,21-03-2025,david,chiriqui,seagrass,6,1,169.84,5
david_chiriqui_seagrass_7,08-03-2025,david,chiriqui,seagrass,7,3,196.67,10
panama_colon_coral_reef_1,07-04-2025,panama,colon,coral_reef,1,2,111.25,4
david_chiriqui_seagrass_4,10-03-2025,david,chiriqui,seagrass,4,5,174.01,3
pedasi_azuero_rocky_shore_6,27-01-2025,pedasi,azuero,rocky_shore,6,2,152.91,8
david_chiriqui_seagrass_1,20-03-2025,david,chiriqui,seagrass,1,1,131.35,10
panama_colon_coral_reef_1,10-03-2025,panama,colon,coral_reef,1,4,105.97,9
puerto_armuelles_open_water_1,21-02-2025,puerto,armuelles,open_water,1,2,104.61,1
david_chiriqui_seagrass_9,29-03-2025,david,chiriqui,seagrass,9,1,106.3,9
panama_colon_coral_reef_1,27-02-2025,panama,colon,coral_reef,1,1,132.48,5
panama_colon_coral_reef_1,11-04-2025,panama,colon,coral_reef,1,1,144.86,6
panama_colon_coral_reef_6,31-01-2025,panama,colon,coral_reef,6,4,159.13,10
pedasi_azuero_rocky_shore_5,18-04-2025,pedasi,azuero,rocky_shore,5,4,144.73,4
pedasi_azuero_rocky_shore_1,06-03-2025,pedasi,azuero,rocky_shore,1,5,127.81,8
panama_colon_coral_reef_8,04-03-2025,panama,colon,coral_reef,8,1,171.3,4
pedasi_azuero_rocky_shore_6,10-02-2025,pedasi,azuero,rocky_shore,6,4,147.5,6
bocas_almirante_mangrove_5,08-03-2025,bocas,almirante,mangrove,5,4,168.51,5
puerto_armuelles_open_water_4,12-03-2025,puerto,armuelles,open_water,4,5,191.99,1
